ibge_code,municipality,reference_year,period,concept,financial_stage,unit,siope_value,rreo_value,canonical_value,absolute_difference,percentage_difference,status,tolerance_rule_id
4313706,Palmeira das Missões,2024,6,mdeAppliedRate,calculated_indicator,percent,26.29,26.29,26.29,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313706,Palmeira das Missões,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,97.92,97.92,97.92,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313805,Palmitinho,2024,6,mdeAppliedAmount,empenhado,BRL,9269810.71,9269810.71,9269810.71,"{'value': 0.0, 'unit': 'BRL', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,monetary_absolute_0_01
4313805,Palmitinho,2024,6,mdeAppliedRate,calculated_indicator,percent,25.51,25.51,25.51,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313805,Palmitinho,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,87.02,87.02,87.02,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313904,Panambi,2024,6,mdeAppliedAmount,empenhado,BRL,44834160.08,44834160.08,44834160.08,"{'value': 0.0, 'unit': 'BRL', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,monetary_absolute_0_01
4313904,Panambi,2024,6,mdeAppliedRate,calculated_indicator,percent,25.72,25.72,25.72,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313904,Panambi,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,94.25,94.25,94.25,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4313953,Pantano Grande,2024,6,mdeAppliedAmount,empenhado,BRL,13086330.54,13086330.54,13086330.54,"{'value': 0.0, 'unit': 'BRL', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,monetary_absolute_0_01
4313953,Pantano Grande,2024,6,mdeAppliedRate,calculated_indicator,percent,25.97,25.97,25.97,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
